year,country,pop,birthrate,deathrate
2013,Belize,345707,22.395,4.588
2014,Belize,353366,22.067,4.603
2015,Belize,360933,21.733,4.624
2016,Belize,368400,21.4,4.65
2017,Belize,375769,21.081,4.681
2018,Belize,383071,20.786,4.716
2019,Belize,390353,20.51,4.756
2013,Bolivia,10542375,23.661,7.062
2014,Bolivia,10706517,23.233,6.966
2015,Bolivia,10869730,22.821,6.89
2016,Bolivia,11031813,22.433,6.834
2017,Bolivia,11192854,22.076,6.795
2018,Bolivia,11353142,21.75,6.772
2019,Bolivia,11513100,21.455,6.762
2013,Brazil,201035904,14.772,6.147
2014,Brazil,202763735,14.624,6.195
2015,Brazil,204471769,14.472,6.25
2016,Brazil,206163058,14.307,6.311
2017,Brazil,207833831,14.125,6.378
2018,Brazil,209469333,13.924,6.452
2019,Brazil,211049527,13.703,6.531
2013,Cambodia,15026330,24.422,6.228
2014,Cambodia,15274503,24.048,6.159
2015,Cambodia,15521436,23.674,6.099
2016,Cambodia,15766293,23.291,6.051
2017,Cambodia,16009414,22.889,6.017
2018,Cambodia,16249798,22.464,5.997
2019,Cambodia,16486542,22.02,5.992
2013,Colombia,46495492,15.945,5.339
2014,Colombia,46967706,15.725,5.373
2015,Colombia,47520667,15.515,5.41
2016,Colombia,48175048,15.308,5.453
2017,Colombia,48909844,15.098,5.503
2018,Colombia,49661056,14.882,5.562
2019,Colombia,50339443,14.655,5.63
2013,Costa Rica,4742111,15.194,4.722
2014,Costa Rica,4795396,14.989,4.791
2015,Costa Rica,4847804,14.762,4.862
2016,Costa Rica,4899345,14.512,4.933
2017,Costa Rica,4949954,14.246,5.005
2018,Costa Rica,4999441,13.971,5.078
2019,Costa Rica,5047561,13.689,5.152
2013,Dominican Republic,10048226,20.761,6.058
2014,Dominican Republic,10165178,20.547,6.068
2015,Dominican Republic,10281680,20.32,6.081
2016,Dominican Republic,10397743,20.07,6.097
2017,Dominican Republic,10513131,19.799,6.12
2018,Dominican Republic,10627165,19.506,6.15
2019,Dominican Republic,10738958,19.193,6.188
2013,Ecuador,15707473,20.848,5.094
2014,Ecuador,15951838,20.645,5.096
2015,Ecuador,16212020,20.432,5.096
2016,Ecuador,16491115,20.205,5.098
2017,Ecuador,16785361,19.968,5.101
2018,Ecuador,17084357,19.719,5.109
2019,Ecuador,17373662,19.46,5.121
2013,El Salvador,6266076,19.036,6.913
2014,El Salvador,6295128,18.881,6.935
2015,El Salvador,6325124,18.734,6.959
2016,El Salvador,6356143,18.587,6.984
2017,El Salvador,6388122,18.429,7.011
2018,El Salvador,6420744,18.253,7.04
2019,El Salvador,6453553,18.054,7.07
2013,Guatemala,15043981,26.369,4.932
2014,Guatemala,15306316,25.992,4.876
2015,Guatemala,15567419,25.627,4.829
2016,Guatemala,15827690,25.267,4.791
2017,Guatemala,16087418,24.912,4.762
2018,Guatemala,16346950,24.561,4.738
2019,Guatemala,16604026,24.21,4.72
2013,Honduras,8798524,23.223,4.446
2014,Honduras,8955589,22.792,4.431
2015,Honduras,9112916,22.433,4.424
2016,Honduras,9270795,22.13,4.423
2017,Honduras,9429013,21.859,4.428
2018,Honduras,9587522,21.599,4.437
2019,Honduras,9746117,21.337,4.45
2013,Jamaica,2858710,17.012,7.463
2014,Jamaica,2875136,16.814,7.497
2015,Jamaica,2891021,16.633,7.523
2016,Jamaica,2906238,16.46,7.542
2017,Jamaica,2920853,16.286,7.558
2018,Jamaica,2934855,16.103,7.573
2019,Jamaica,2948279,15.907,7.591
2013,Laos,6541302,25.496,6.93
2014,Laos,6639756,25.091,6.803
2015,Laos,6741164,24.71,6.691
2016,Laos,6845846,24.337,6.593
2017,Laos,6953035,23.955,6.508
2018,Laos,7061507,23.549,6.434
2019,Laos,7169455,23.117,6.371
2013,Malaysia,29468923,17.106,4.767
2014,Malaysia,29866559,17.071,4.818
2015,Malaysia,30270962,17.024,4.877
2016,Malaysia,30684804,16.957,4.942
2017,Malaysia,31105028,16.867,5.014
2018,Malaysia,31528585,16.752,5.09
2019,Malaysia,31949777,16.608,5.17
2013,Mexico,118827158,19.198,5.572
2014,Mexico,120355128,18.892,5.67
2015,Mexico,121858258,18.573,5.763
2016,Mexico,123333376,18.245,5.851
2017,Mexico,124777324,17.918,5.933
2018,Mexico,126190788,17.602,6.01
2019,Mexico,127575529,17.297,6.082
2013,Nicaragua,6062462,22.585,5.031
2014,Nicaragua,6142733,22.231,5.029
2015,Nicaragua,6223240,21.859,5.032
2016,Nicaragua,6303974,21.468,5.039
2017,Nicaragua,6384855,21.06,5.049
2018,Nicaragua,6465513,20.641,5.061
2019,Nicaragua,6545502,20.215,5.075
2013,Panama,3835447,20.429,4.969
2014,Panama,3901315,20.155,4.985
2015,Panama,3968487,19.863,5.003
2016,Panama,4037078,19.562,5.024
2017,Panama,4106771,19.263,5.048
2018,Panama,4176873,18.976,5.076
2019,Panama,4246439,18.705,5.108
2013,Peru,29773986,19.185,5.309
2014,Peru,30090359,18.827,5.324
2015,Peru,30470734,18.544,5.348
2016,Peru,30926032,18.323,5.386
2017,Peru,31444297,18.134,5.438
2018,Peru,31989256,17.949,5.503
2019,Peru,32510453,17.756,5.579
2013,Philippines,98871558,23.562,5.754
2014,Philippines,100513138,22.935,5.78
2015,Philippines,102113212,22.273,5.798
2016,Philippines,103663927,21.623,5.815
2017,Philippines,105173264,21.036,5.839
2018,Philippines,106651922,20.546,5.873
2019,Philippines,108116615,20.166,5.92
2013,Singapore,5399162,9.3,4.6
2014,Singapore,5469724,9.8,4.7
2015,Singapore,5535002,9.7,4.8
2016,Singapore,5607283,9.4,4.8
2017,Singapore,5612253,8.9,5
2018,Singapore,5638676,8.8,5
2019,Singapore,5703569,8.8,5
2013,Sri Lanka,20585000,17.093,6.204
2014,Sri Lanka,20778000,16.849,6.282
2015,Sri Lanka,20908027,16.609,6.368
2016,Sri Lanka,21021171,16.364,6.459
2017,Sri Lanka,21128032,16.106,6.554
2018,Sri Lanka,21228763,15.831,6.651
2019,Sri Lanka,21323733,15.544,6.75
2013,Thailand,68144519,11.169,7.279
2014,Thailand,68438730,10.999,7.327
2015,Thailand,68714511,10.836,7.389
2016,Thailand,68971331,10.676,7.467
2017,Thailand,69209858,10.513,7.559
2018,Thailand,69428524,10.344,7.666
2019,Thailand,69625582,10.168,7.786
2013,Venezuela,29781046,19.775,5.997
2014,Venezuela,30045134,19.394,6.197
2015,Venezuela,30081829,19.002,6.408
2016,Venezuela,29846179,18.61,6.619
2017,Venezuela,29390409,18.232,6.814
2018,Venezuela,28870195,17.881,6.982
2019,Venezuela,28515829,17.566,7.118
2013,Vietnam,90752593,17.333,5.994
2014,Vietnam,91714595,17.315,6.06
2015,Vietnam,92677076,17.259,6.126
2016,Vietnam,93638724,17.15,6.19
2017,Vietnam,94596642,16.979,6.253
2018,Vietnam,95540395,16.745,6.317
2019,Vietnam,96462106,16.454,6.38
