country,sigma_env,rho,tau,ie,M1_0,M2_0,M3_0,S_0,E_0,I_0,C_0
Belize,0.5,0.01,0.001,0.01,0.998,0.001,0.001,0.997,0.001,0.001,0.001
Bolivia,0.5,0.01,0.001,0.01,0.998,0.001,0.001,0.997,0.001,0.001,0.001
Brazil,0.5,0.01,0.001,0.01,0.998,0.001,0.001,0.997,0.001,0.001,0.001
Cambodia,0.5,0.01,0.001,0.01,0.998,0.001,0.001,0.997,0.001,0.001,0.001
Colombia,0.5,0.01,0.001,0.01,0.998,0.001,0.001,0.997,0.001,0.001,0.001
Costa Rica,0.5,0.01,0.001,0.01,0.998,0.001,0.001,0.997,0.001,0.001,0.001
Dominican Republic,0.5,0.01,0.001,0.01,0.998,0.001,0.001,0.997,0.001,0.001,0.001
Ecuador,0.5,0.01,0.001,0.01,0.998,0.001,0.001,0.997,0.001,0.001,0.001
El Salvador,0.5,0.01,0.001,0.01,0.998,0.001,0.001,0.997,0.001,0.001,0.001
Guatemala,0.5,0.01,0.001,0.01,0.998,0.001,0.001,0.997,0.001,0.001,0.001
Honduras,0.5,0.01,0.001,0.01,0.998,0.001,0.001,0.997,0.001,0.001,0.001
Jamaica,0.5,0.01,0.001,0.01,0.998,0.001,0.001,0.997,0.001,0.001,0.001
Laos,0.5,0.01,0.001,0.01,0.998,0.001,0.001,0.997,0.001,0.001,0.001
Malaysia,0.5,0.01,0.001,0.01,0.998,0.001,0.001,0.997,0.001,0.001,0.001
Mexico,0.5,0.01,0.001,0.01,0.998,0.001,0.001,0.997,0.001,0.001,0.001
Nicaragua,0.5,0.01,0.001,0.01,0.998,0.001,0.001,0.997,0.001,0.001,0.001
Panama,0.5,0.01,0.001,0.01,0.998,0.001,0.001,0.997,0.001,0.001,0.001
Peru,0.5,0.01,0.001,0.01,0.998,0.001,0.001,0.997,0.001,0.001,0.001
Philippines,0.5,0.01,0.001,0.01,0.998,0.001,0.001,0.997,0.001,0.001,0.001
Singapore,0.5,0.01,0.001,0.01,0.998,0.001,0.001,0.997,0.001,0.001,0.001
Sri Lanka,0.5,0.01,0.001,0.01,0.998,0.001,0.001,0.997,0.001,0.001,0.001
Thailand,0.5,0.01,0.001,0.01,0.998,0.001,0.001,0.997,0.001,0.001,0.001
Venezuela,0.5,0.01,0.001,0.01,0.998,0.001,0.001,0.997,0.001,0.001,0.001
Vietnam,0.5,0.01,0.001,0.01,0.998,0.001,0.001,0.997,0.001,0.001,0.001
