country,outbreak_size_obs,outbreak_size_pre,mosquito
Belize,17.04246929,16.9165352,alb
Bolivia,5.207512001,2.224323366,aeg
Bolivia,6.487779771,5.074302317,aeg
Bolivia,10.32981111,5.759991591,aeg
Brazil,7.365096943,6.522269365,aeg
Brazil,9.383007953,9.186850973,aeg
Cambodia,5.654421264,5.130497764,aeg
Cambodia,3.291524641,2.422859367,aeg
Cambodia,9.726951476,7.013560889,aeg
Colombia,1.032569678,2.78795948,aeg
Costa Rica,12.6434523,11.61114868,aeg
Costa Rica,7.517473326,7.801288099,aeg
Dominican Republic,8.215677482,8.501689459,aeg
Dominican Republic,12.73203078,11.4707349,aeg
Ecuador,15.28519058,15.34490077,alb
El Salvador,11.00168358,8.38262109,aeg
El Salvador,9.863696854,7.050368984,aeg
El Salvador,2.416557575,6.006560692,aeg
Guatemala,1.024284113,1.251579275,aeg
Honduras,1.292905044,2.937549774,aeg
Honduras,1.110468696,1.059465182,aeg
Jamaica,5.464168351,3.70329607,aeg
Jamaica,1.848832678,3.70329607,aeg
Laos,1.03900354,5.416291167,aeg
Laos,17.54270035,3.810363805,aeg
Malaysia,4.844459908,6.544490648,aeg
Malaysia,3.89026757,5.910045981,aeg
Malaysia,1.132716794,2.530139846,aeg
Mexico,6.330136275,3.498464841,aeg
Mexico,11.63989955,9.169817517,aeg
Nicaragua,1.620624644,1.00898449,aeg
Nicaragua,15.54724222,12.2895478,aeg
Panama,4.243195504,2.627567518,alb
Panama,1.614810203,1.764714978,alb
Panama,3.372918313,2.260180209,alb
Peru,3.531379657,6.76613245,alb
Peru,11.1313391,14.00108326,alb
Philippines,3.632975931,3.012065101,aeg
Philippines,1.689653066,2.52863621,aeg
Philippines,1.138308029,2.299381801,aeg
Philippines,12.06644885,5.750226787,aeg
Singapore,7.061657985,8.035368196,aeg
Singapore,4.047341982,4.983315726,aeg
Singapore,6.063875761,5.82239316,aeg
Sri Lanka,1.067994672,1.254834489,alb
Sri Lanka,12.00864494,5.795919908,alb
Sri Lanka,3.831477426,4.419069209,alb
Thailand,11.53576251,7.432687231,aeg
Thailand,2.300533973,1.099699725,aeg
Thailand,7.796268867,5.177976481,aeg
Venezuela,10.46536334,11.08138441,alb
Venezuela,4.547562992,6.462718576,alb
Venezuela,3.016658236,5.666918508,alb
Venezuela,2.572692813,5.527562823,alb
Vietnam,4.631470556,4.714826508,alb
